ID ECAO	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type	URCH specific	hasNoOnto	Taxon	Pubmed references	Reference	Time for P. lividus at 18°C	stage preceded by
ECAO:0103940	vegetal cortex	cell cortex	vegetal hemisphere		fully grown oocyte with centered germinal vesicle stage	1-cell stage	Cell component comprising the outermost layer of the vegetal region of the oocyte. It consists of a phospholipid bilayer and associated proteins												x					
ECAO:0103950	animal pole	anatomical region	whole organism		fully grown oocyte with centered germinal vesicle stage	prism stage	The apical region of the animal hemisphere												x					
ECAO:0103960	vegetal pole	anatomical region	whole organism		fully grown oocyte with centered germinal vesicle stage	prism stage	The apical most region of the vegetal hemisphere. Once cleavages have started the vegetal pole is characterized by the presence of the micromeres initially and then that of the small micromeres												x					
ECAO:0103970	animal pole domain	anatomical region	embryo		very early blastula stage	prism stage		apical pole domain, apical plate, animal plate, neurogenic ectoderm, anterior neuroectoderm											x					
ECAO:0103980	blastopore	anatomical region	embryonic digestive system		blastopore formation stage	prism stage			UBERON:0000100															
ECAO:0103990	blastopore lip	embryonic structure	blastopore		blastopore formation stage	prism stage			UBERON:3010455															
ECAO:0104000	bottle cell	embryonic cell	vegetal plate		blastopore formation stage	blastopore formation stage					CL:0007020													
ECAO:0104010	embryonic cell	cell	embryo		2-cell stage	prism stage					CL:0002321													
ECAO:0104020	vegetal plate	anatomical region	embryo		vegetal plate stage	late mesenchyme blastula stage													x					
ECAO:0104030	cell	anatomical structure			previtellogenic primary oocyte stage	adult stage	Anatomical structure that has as its parts a maximally connected cell compartment surrounded by a plasma membrane				CL:0000000													
ECAO:0104040	cell part	anatomical structure	cell		previtellogenic primary oocyte stage	adult stage	Anatomical structure that is part of a cell and that has a granularity level equal to that of a protein complex or higher.										GO:0044464							
ECAO:0104050	digestive system element	anatomical structure	digestive system		blastopore formation stage	adult stage	Any of the organs or elements that are part of the digestive system		UBERON:0013765															
ECAO:0104060	skeletal element	anatomical structure	endoskeleton		mid-gastrula stage	adult stage			UBERON:0004765															
ECAO:0104070	embryonic structure	anatomical structure	embryo		1-cell stage	prism stage	Any anatomical structure that is part of an embryo		UBERON:0002050															
ECAO:0104080	larval structure	anatomical structure	larva		early pluteus larva stage	metamorphic larva stage	Any anatomical structure that is part of a larva												x					
ECAO:0104090	juvenile structure	anatomical structure	juvenile		early juvenile stage	late juvenile stage	Any anatomical structure that is part of a juvenile																	
ECAO:0104100	adult structure	anatomical structure	adult		early juvenile stage	adult stage	Any anatomical structure that is part of an adult												x					
ECAO:0104110	tissue	anatomical structure	multicellular organism		60-cell stage	adult stage			UBERON:0000479															
ECAO:0104120	rudiment	anatomical structure	larva		6-arm pluteus larva stage	metamorphic larva stage		adult rudiment, imaginal adult rudiment											x					
ECAO:0104130	rudiment structure	anatomical structure	rudiment		6-arm pluteus larva stage	metamorphic larva stage													x					
ECAO:0104140	non-rudiment adult structure	anatomical structure	larva		6-arm pluteus larva stage	metamorphic larva stage													x					
ECAO:0104147	intracellular part	cell part	cell		previtellogenic primary oocyte stage	adult stage											GO:0044424							
ECAO:0104148	cytoskeleton	intracellular part	cell		previtellogenic primary oocyte stage	adult stage											GO:0005856							
ECAO:0104150	microtubule	intracellular part	cytoskeleton		previtellogenic primary oocyte stage	adult stage											GO:0005874							
ECAO:0104160	nucleus	intracellular part	cell		mature oocyte stage	adult stage	A membrane-bounded organelle of in which chromosomes are housed and replicated. In most cells, it contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some specialized cell types, RNA metabolism or DNA replication may be absent										GO:0005634							
ECAO:0104168	oocyte	gamete	reproductive system		oogenesis period	oogenesis period	A female haploid germ cell.				CL:0000023													
ECAO:0104170	germinal vesicle	nucleus	oocyte		not fully grown oocyte stage	fully grown oocyte with off-centered germinal vesicle stage	The enlarged, fluid filled nucleus of a primary oocyte, the development of which is suspended in prophase I of the first meiotic division between embryohood and sexual maturity										GO:0042585							
ECAO:0104180	equatorial pigment band	intracellular part	cell		fully grown oocyte with centered germinal vesicle stage	prism stage	The subequatorial accumulation of pigment granules (the so-called ‘pigment band’) in eggs or early stage embryos, which constitutes an unambiguous marker of animal-vegetal polarity	pigment band, pigmented band					Sardet, C. and Chang, P. (1985). A marker of animal-vegetal polarity in the egg of the sea urchin paracentrotus lividus. Exp. Cell Res. 160, 73–82.					x	x					
ECAO:0104190	cytoplasm	intracellular part	cell		not fully grown oocyte stage	adult stage	All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures										GO:0005737							
ECAO:0104200	centrosome	intracellular part	cell		fully grown oocyte with off-centered germinal vesicle stage	adult stage											GO:0005813							
ECAO:0104210	mitotic spindle	intracellular part	cell		1-cell stage	adult stage											GO:0072686							
ECAO:0104220	meiotic spindle	intracellular part	oocyte		fully grown oocyte with off-centered germinal vesicle stage	fully grown oocyte with off-centered germinal vesicle stage											GO:0072687							
ECAO:0104230	fertilization envelope	embryonic structure	embryo		1-cell stage	late blastula stage	A structure that lies outside the plasma membrane and surrounds the egg. The fertilization envelope forms from the vitelline membrane after fertilization as a result of cortical granule release	fertilization membrane									GO:0060387							
ECAO:0104247	spermatozoid	gamete	reproductive system		spermatogenesis period	spermatogenesis period	A mature male germ cell	sperm, spermatozoa, spermatozoan, male gamete, mature sperm cell			CL:0000019													
ECAO:0104248	aster	intracellular part	cytoskeleton		fully grown oocyte with off-centered germinal vesicle stage	adult stage		spindle aster, mitotic aster									GO:0005818							
ECAO:0104250	sperm aster	aster	spermatozoid		mature spermatozoid stage	mature spermatozoid stage		spermatozoid aster											x					
ECAO:0104270	acellular membrane	anatomical structure			mature oocyte stage	mature oocyte stage			UBERON:0005764															
ECAO:0104280	vitelline membrane	acellular membrane	oocyte		mature oocyte stage	mature oocyte stage		vitelline layer, vitelline envelope	UBERON:0003125				Correa and Carroll 1997											
ECAO:0104300	hyaline layer	acellular membrane	embryo		1-cell stage	prism stage		hyaline membrane									GO:0033166							
ECAO:0104310	microvillus	cell part	whole organism		1-cell stage	1-cell stage											GO:0005902							
ECAO:0104320	apical lamina	acellular membrane	hyaline layer		1-cell stage	prism stage		fibropellin layer									GO:0032579							
ECAO:0104330	secretory vesicle	intracellular part	whole organism		1-cell stage	1-cell stage											GO:0099503							
ECAO:0104340	cilium	cell part	whole organism		vegetal plate stage	adult stage											GO:0072372							
ECAO:0104350	filopodium	cell part	embryo		early mesenchyme blastula stage	late gastrula stage											GO:0030175							
ECAO:0104360	basal lamina	acellular membrane	whole organism		mature oocyte stage	4-arm pluteus larva stage			UBERON:0000482				Wessel, G. M., Marchase, R. B., & McClay, D. R. (1984).											
ECAO:0104370	basal laminar vesicle	secretory vesicle	whole organism		mature oocyte stage	4-arm pluteus larva stage		basal lamina vesicle, basal vesicle					Wessel, G. M., Marchase, R. B., & McClay, D. R. (1984).						x					
ECAO:0104380	apical vesicle	secretory vesicle	whole organism		mature oocyte stage	1-cell stage													x					
ECAO:0104390	cortical granule	secretory vesicle	whole organism		mature oocyte stage	1-cell stage		cortical vesicle									GO:0060473							
ECAO:0104400	echinonectin vesicle	secretory vesicle	whole organism		mature oocyte stage	1-cell stage		nectosome, echinonectin granule											x					
ECAO:0104410	mitochondrion	intracellular part	whole organism		previtellogenic primary oocyte stage	adult stage							Agnello, M., Roccheri, M. C., Morici, G., & Rinaldi, A. M. (2017).				GO:0005739							
ECAO:0104420	actin cytoskeleton	cytoskeleton	cell		previtellogenic primary oocyte stage	adult stage											GO:0015629							
ECAO:0104430	actin filament	intracellular part	actin cytoskeleton		previtellogenic primary oocyte stage	adult stage		microfilament, F-actin filament									GO:0005884							
ECAO:0104440	nuclear part	intracellular part	nucleus		mature oocyte stage	adult stage											GO:0044428							
ECAO:0104450	nucleoplasm	nuclear part	nucleus		mature oocyte stage	adult stage											GO:0005654							
ECAO:0104460	nuclear envelope	nuclear part	nucleus		mature oocyte stage	adult stage											GO:0005635							
ECAO:0104470	endoplasmic reticulum	intracellular part	cell		previtellogenic primary oocyte stage	adult stage											GO:0005783							
ECAO:0104480	spermatozoid entry point	cell part	whole organism		mature oocyte stage	1-cell stage													x					
ECAO:0104490	plasma membrane	cell part	whole organism		previtellogenic primary oocyte stage	adult stage		cell membrane									GO:0005886							
ECAO:0104500	polar body	cell	oocyte		fully grown oocyte with off-centered germinal vesicle stage	fully grown oocyte with no nucleus stage	A small cell formed by the meiotic division of an oocyte				CL:0002090													
ECAO:0104510	spermatozoid part	cell part	spermatozoid		spermatogenesis period	spermatogenesis period		sperm part									GO:0097223							
ECAO:0104520	spermatozoid head	spermatozoid part	spermatozoid		spermatogenesis period	spermatogenesis period	The part of the late spermatid or spermatozoon that contains the nucleus and acrosome.										GO:0061827							
ECAO:0104530	spermatozoid flagellum	spermatozoid part	spermatozoid		spermatogenesis period	spermatogenesis period	A microtubule-based flagellum (or cilium) that is part of a sperm, a mature male germ cell that develops from a spermatid	sperm tail									GO:0036126							
ECAO:0104540	acrosomal vesicle	secretory vesicle	spermatozoid head		spermatogenesis period	spermatogenesis period	An organelle that develops over the anterior half of the head in the spermatozoa	acrosome									GO:0001669							
ECAO:0104548	small micromere descendant cell	blastomere	embryo	small micromere	very early blastula stage	competent pluteus larva stage		presumptive primordial germ cell										x	x					
ECAO:0104550	presumptive primordial germ cell	cell	embryo	small micromere descendant cell	32-cell stage	metamorphic larva stage													x					
ECAO:0104560	primordial germ cell	cell	reproductive system		early juvenile stage	adult stage					CL:0000670													
ECAO:0104570	germ cell	cell	reproductive system	primordial germ cell	adult stage	adult stage																		
ECAO:0104580	gamete	germ cell	reproductive system		gametogenesis	gametogenesis																		
ECAO:0104600	immature occyte	oocyte	primordial germ cell		previtellogenic primary oocyte stage	fully grown oocyte with no nucleus stage		immature egg											x					
ECAO:0104610	mature oocyte	oocyte	germ cell	immature occyte	mature oocyte stage	mature oocyte stage	A mature female gamet that has entered meiosis.	egg, unfertilized egg, female gamete, female germ cell			CL:0000023													
ECAO:0104630	blastomere	embryonic cell	embryo		2-cell stage	60-cell stage	An undifferentiated cell produced by early cleavages of the fertilized egg (zygote)	blastoderm cell			CL:0000353													
ECAO:0104640	blastomere of 2-cell embryo	blastomere	embryo		2-cell stage	2-cell stage													x					
ECAO:0104650	blastomere of 4-cell embryo	blastomere	embryo		4-cell stage	4-cell stage													x					
ECAO:0104660	mesomere	blastomere	animal hemisphere		16-cell stage	16-cell stage	Intermediate size blastomere forming the animal hemisphere of the cleaving embryo	mesomeres											x					
ECAO:0104670	macromere	blastomere	vegetal hemisphere		16-cell stage	16-cell stage	Larger blastomere of the vegetal hemisphere of the cleaving embryo located below the equator	macromeres											x					
ECAO:0104678	cell tier	embryonic structure	embryo		8-cell stage	late blastula stage		blastomere tier											x					
ECAO:0104680	macromere daughter cell tier	cell tier	vegetal hemisphere		28-cell stage	32-cell stage													x					
ECAO:0104690	micromere	blastomere	vegetal hemisphere		16-cell stage	28-cell stage	Small blastomere of the vegetal hemisphere of the cleaving embryo located at to the vegetal pole	micromeres										x	x					
ECAO:0104700	large micromere	blastomere	vegetal hemisphere	micromere	32-cell stage	60-cell stage												x	x					
ECAO:0104710	large micromere descendant cell	blastomere	embryo	large micromere	very early blastula stage	early mesenchyme blastula stage		large micromere progeny, presumptive PMC, presumptive skeletogenic mesenchyme cell, presumptive primary mesenchyme cell										x	x					
ECAO:0104720	small micromere	blastomere	vegetal hemisphere	micromere	32-cell stage	60-cell stage		SM										x	x					
ECAO:0104740	presumptive neuron	cell	nervous system		late blastula stage	adult stage	A progenitor cell of the nervous system that will develop into a neuron	neuronal progenitor cell											x					
ECAO:0104750	animal pole domain presumptive neuron	presumptive neuron	embryonic nervous system		mesenchyme blastula phase	prism stage		apical pole domain presumptive neuron, animal pole domain neuronal progenitor cell											x					
ECAO:0104760	ectoderm presumptive neuron	presumptive neuron	embryonic nervous system		mesenchyme blastula phase	prism stage		ectoderm neuronal progenitor cell											x					
ECAO:0104770	ciliary band presumptive neuron	presumptive neuron	nervous system		mesenchyme blastula phase	competent pluteus larva stage		ciliary band neuronal progenitor cell											x					
ECAO:0104780	endoderm associated presumptive neuron	presumptive neuron	nervous system		prism stage	competent pluteus larva stage		endoderm associated neuronal progenitor cell					wei at al., 2011						x					
ECAO:0104790	neuron	cell	nervous system	presumptive neuron	prism stage	adult stage		nerve cell			CL:0000540													
ECAO:0104800	larval neuron	neuron	larval nervous system	presumptive neuron	early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0104810	serotonergic neuron	neuron	nervous system	animal pole domain presumptive neuron	prism stage	competent pluteus larva stage					CL:0000850													
ECAO:0104820	synaptotagmin-B neuron	neuron	nervous system																					
ECAO:0104830	dopaminergic neuron	neuron	nervous system	ectoderm presumptive neuron	prism stage	metamorphic larva stage					CL:0000700													
ECAO:0104840	GABAergic neuron	neuron	nervous system		prism stage	metamorphic larva stage					CL:0000617													
ECAO:0104850	sensory neuron	neuron	nervous system		prism stage	adult stage		sensory cell			CL:0000101													
ECAO:0104860	biopolar neuron	neuron	nervous system		prism stage	adult stage					CL:0000103													
ECAO:0104870	multipolar neuron	neuron	nervous system		prism stage	adult stage					CL:0000104													
ECAO:0104878	neural structure	anatomical structure	nervous system		prism stage	adult stage		neuronal structure											x					
ECAO:0104880	axon tract	neural structure	nervous system		prism stage	adult stage		axonal tract, axon bundle	UBERON:0001018															
ECAO:0104900	ciliary band neuron	larval neuron	larval nervous system	ciliary band presumptive neuron	prism stage	competent pluteus larva stage		peripheral neuron											x					
ECAO:0104908	ectoderm	germ layer	whole organism		60-cell stage	metamorphic larva stage	Primary germ layer that is the outer of the embryo's three germ layers and gives rise to epidermis and neural tissue.		UBERON:0000924															
ECAO:0104910	presumptive ciliary band cell	cell	embryo	ectoderm	late blastula stage	late gastrula stage													x					
ECAO:0104920	endoderm associated neuron	larval neuron	larval nervous system	endoderm associated presumptive neuron	4-arm pluteus larva stage	adult stage													x					
ECAO:0104930	ganglion	neural structure	nervous system		prism stage	adult stage			UBERON:0000045															
ECAO:0104940	apical ganglion	ganglion	larval nervous system	animal pole domain	prism stage	competent pluteus larva stage		apical organ											x					
ECAO:0104950	adult neuron	neuron	adult nervous system	presumptive neuron	8-arm pluteus larva stage	adult stage													x					
ECAO:0104960	circumoral nerve ring	neural structure	adult nervous system		8-arm pluteus larva stage	adult stage													x					
ECAO:0104970	enteric nerve plexus	neural structure	adult nervous system		late juvenile stage	adult stage		enteric plexus, digestive nerve plexus	UBERON:0000429															
ECAO:0104980	radial nerve cord	neural structure	adult nervous system		8-arm pluteus larva stage	adult stage													x					
ECAO:0104990	primary podia associated neuron	adult neuron	adult neuron		8-arm pluteus larva stage	late juvenile stage													x					
ECAO:0105000	secondary podia associated neuron	adult neuron	adult neuron		early juvenile stage	adult stage																		
ECAO:0105010	definitive spine associated neuron	adult neuron	adult nervous system		8-arm pluteus larva stage	adult stage													x					
ECAO:0105020	pedicellaria associated neuron	adult neuron	adult nervous system		8-arm pluteus larva stage	adult stage													x					
ECAO:0105030	basiepidermal nerve plexus	neural structure	adult nervous system		8-arm pluteus larva stage	adult stage																		
ECAO:0105050	animal quartet	cell tier	animal hemisphere		8-cell stage	8-cell stage	Group of four cells of equal size forming the animal hemisphere of an eight-cell stage embryo												x					
ECAO:0105060	vegetal quartet	cell tier	vegetal hemisphere		8-cell stage	8-cell stage	Group of four cells of equal size forming the vegetal hemisphere of an eight-cell stage embryo												x					
ECAO:0105070	animal tier 1	cell tier	animal hemisphere	mesomere	28-cell stage	60-cell stage		an1											x					
ECAO:0105080	animal tier 2	cell tier	animal hemisphere	mesomere	28-cell stage	60-cell stage		an2											x					
ECAO:0105090	vegetal tier 1	cell tier	vegetal hemisphere	macromere	56-cell stage	early blastula stage		veg1, ectoendoderm											x					
ECAO:0105100	vegetal tier 2	cell tier	vegetal hemisphere	macromere	56-cell stage	early blastula stage		veg2, endomesoderm											x					
ECAO:0105110	vegetal tier 1 upper	cell tier	vegetal hemisphere	vegetal tier 1	mid-blastula stage	late blastula stage		veg1U, veg1 upper, presumptive vegetal ectoderm					Lhomond et al 2012 (Frizzled1/2/7)						x					
ECAO:0105120	vegetal tier 1 lower	cell tier	vegetal hemisphere	vegetal tier 1	mid-blastula stage	late blastula stage		veg1L, veg1 lower					Lhomond et al 2012 (Frizzled1/2/7)						x					
ECAO:0105130	vegetal tier 2 upper	cell tier	vegetal hemisphere	vegetal tier 2	mid-blastula stage	late blastula stage		veg2U, veg2 upper					Lhomond et al 2012 (Frizzled1/2/7)						x					
ECAO:0105140	vegetal tier 2 lower	cell tier	vegetal hemisphere	vegetal tier 2	mid-blastula stage	late blastula stage		veg2L, veg2 lower, presumptive non-skeletogenic mesoderm					Lhomond et al 2012 (Frizzled1/2/7)						x					
ECAO:0105150	germ layer	embryonic structure	embryo		early mesenchyme blastula stage	prism stage		primary germ layer, embryonic germ layer	UBERON:0000923															
ECAO:0105158	embryonic tissue	tissue	embryo		16-cell stage	prism stage			UBERON:0005291															
ECAO:0105160	presumptive ectoderm	embryonic tissue	animal hemisphere	mesomere	16-cell stage	vegetal plate stage			UBERON:0006601															
ECAO:0105180	animal ectoderm	anatomical region	ectoderm	animal hemisphere	60-cell stage	vegetal plate stage													x					
ECAO:0105190	vegetal ectoderm	anatomical region	ectoderm	vegetal hemisphere	early blastula stage	vegetal plate stage													x					
ECAO:0105200	ventral ectoderm	anatomical region	ectoderm		60-cell stage	competent pluteus larva stage		oral ectoderm											x					
ECAO:0105210	dorsal ectoderm	anatomical region	ectoderm		60-cell stage	competent pluteus larva stage		aboral ectoderm											x					
ECAO:0105220	ectoendoderm	germ layer	whole organism	vegetal tier 1	60-cell stage	very late blastula stage		vegetal tier 1, veg1											x					
ECAO:0105230	endomesoderm	germ layer	whole organism	vegetal tier 2	60-cell stage	very late blastula stage		vegetal tier 2, veg2, mesoendoderm							XAO:0003044				xao					
ECAO:0105240	inner animal pole domain	anatomical region	animal pole domain	animal tier 1	mesenchyme blastula phase	prism stage		inner apical pole domain											x					
ECAO:0105250	outer animal pole domain	anatomical region	animal pole domain	animal tier 1	mesenchyme blastula phase	prism stage		outer apical pole domain											x					
ECAO:0105260	central ectoderm	anatomical region	ectoderm		late blastula stage	late gastrula stage							Li, E., Cui, M., Peter, I. S. and Davidson, E. H. (2014). Encoding regulatory state boundaries in the pregastrular oral ectoderm of the sea urchin embryo. Proc. Natl. Acad. Sci. U.S.A. 111, E906-913.						x					
ECAO:0105270	border ectoderm	anatomical region	ectoderm	ectoendoderm	mesenchyme blastula phase	mesenchyme blastula phase		BE					Ref McIntyre						x					
ECAO:0105280	near-apical ectoderm	anatomical region	ectoderm		mesenchyme blastula phase	invagination phase																		
ECAO:0105290	apical ectoderm	anatomical region	ectoderm		blastula period	prism stage																		
ECAO:0105300	veg1-lateral ectoderm	anatomical region	ectoderm		mesenchyme blastula phase	invagination phase																		
ECAO:0105310	veg-1 oral ectoderm	anatomical region	ectoderm		mesenchyme blastula phase	invagination phase																		
ECAO:0105320	lateral ectoderm	anatomical region	ectoderm		mesenchyme blastula phase	invagination phase																		
ECAO:0105330	right lateral ectoderm	lateral ectoderm	ectoderm		mesenchyme blastula phase	invagination phase													x					
ECAO:0105340	left lateral ectoderm	lateral ectoderm	ectoderm		mesenchyme blastula phase	invagination phase													x					
ECAO:0105350	arm tip ectoderm	anatomical region	ectoderm		early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105360	dorsal arm tip ectoderm	anatomical region	arm tip ectoderm	border ectoderm	early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105370	ventral arm tip ectoderm	anatomical region	arm tip ectoderm	border ectoderm	early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105380	apical tuft	embryonic structure	animal pole domain	animal tier 1	very late blastula stage	prism stage													x					
ECAO:0105400	larval tissue	tissue	larva		early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105410	rudiment tissue	tissue	rudiment		6-arm pluteus larva stage	metamorphic larva stage																		
ECAO:0105420	juvenile tissue	tissue	juvenile		early juvenile stage	late juvenile stage																		
ECAO:0105430	adult tissue	tissue	adult		early juvenile stage	adult stage													x					
ECAO:0105440	presumptive stomodeum	embryonic structure	ventral ectoderm		mesenchyme blastula phase	prism stage																		
ECAO:0105450	stomodeum	embryonic structure	ventral ectoderm	presumptive stomodeum	prism stage	prism stage		presumptive mouth	UBERON:0000930															
ECAO:0105460	ciliary band	anatomical structure	ectoderm		mesenchyme blastula phase	competent pluteus larva stage													x					
ECAO:0105470	oral hood ciliary band	larval structure	ciliary band		early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105480	arm ciliary band	larval structure	ciliary band		early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105490	animal pole ciliary band	embryonic structure	ciliary band		mesenchyme blastula phase	prism stage																		
ECAO:0105500	vegetal ciliary band	embryonic structure	ciliary band		mesenchyme blastula phase	prism stage													x					
ECAO:0105510	lateral ciliary band	embryonic structure	ciliary band		mesenchyme blastula phase	prism stage													x					
ECAO:0105520	oral hood	larval structure	larva		early pluteus larva stage	competent pluteus larva stage		oh, preoral lobe, PL					gossellin and jangoux 1998 et Smith et al., 2008						x					
ECAO:0105530	apex	larval structure	larva		early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105540	larval arm	larval structure	larva		early pluteus larva stage	competent pluteus larva stage							Yajima, M., & Kiyomoto, M. (2006).						x					
ECAO:0105550	right anterolateral arm	larval arm	larva		4-arm pluteus larva stage	competent pluteus larva stage		AL, ALA					Yajima, M., & Kiyomoto, M. (2006).						x					
ECAO:0105560	left anterolateral arm	larval arm	larva		4-arm pluteus larva stage	competent pluteus larva stage		AL, ALA					Yajima, M., & Kiyomoto, M. (2006).						x					
ECAO:0105570	right postoral arm	larval arm	larva		early pluteus larva stage	competent pluteus larva stage		PO					Yajima, M., & Kiyomoto, M. (2006).						x					
ECAO:0105580	left postoral arm	larval arm	larva		early pluteus larva stage	competent pluteus larva stage		PO					Yajima, M., & Kiyomoto, M. (2006).						x					
ECAO:0105590	right posterodorsal arm	larval arm	larva		6-arm pluteus larva stage	competent pluteus larva stage		PD					Yajima, M., & Kiyomoto, M. (2006).						x					
ECAO:0105600	left posterodorsal arm	larval arm	larva		6-arm pluteus larva stage	competent pluteus larva stage		PD					Yajima, M., & Kiyomoto, M. (2006).						x					
ECAO:0105610	right preoral arm	larval arm	larva		8-arm pluteus larva stage	competent pluteus larva stage		PR, PRO					Yajima, M., & Kiyomoto, M. (2006).						x					
ECAO:0105620	left preoral arm	larval arm	larva		8-arm pluteus larva stage	competent pluteus larva stage		PR, PRO					Yajima, M., & Kiyomoto, M. (2006).						x					
ECAO:0105628	spicule rudiment	skeletal element	endoskeleton		mid-gastrula stage	adult stage																		
ECAO:0105630	spicule granule	spicule rudiment	endoskeleton		mid-gastrula stage	adult stage		spicule dot											x					
ECAO:0105650	triradiate spicule rudiment	spicule rudiment	endoskeleton	spicule granule	mid-gastrula stage	adult stage		spicule primordium											x					
ECAO:0105660	right ventrolateral triradiate spicule rudiment	triradiate spicule rudiment	endoskeleton	spicule granule	mid-gastrula stage	late gastrula stage		triradiate spicule											x					
ECAO:0105670	left ventrolateral triradiate spicule rudiment	triradiate spicule rudiment	endoskeleton	spicule granule	mid-gastrula stage	late gastrula stage																		
ECAO:0105680	hexaradiate spicule rudiment	spicule rudiment	endoskeleton	spicule granule	8-arm pluteus larva stage	adult stage		hexaradiate spicule											x					
ECAO:0105690	larval spicule	skeletal element	larval endoskeleton	triradiate spicule rudiment	early pluteus larva stage	adult stage	A triradiate or hexaradiate minute calcareous skeletal element that initiates most if not all skeletal structures found within the sea urchin embryo, larva and adult.	primary triradiate skeletal rudiment					Heyland, A. and Hodin, J. (2014). A detailed staging scheme for late larval development in Strongylocentrotus purpuratus focused on readily-visible juvenile structures within the rudiment. BMC Developmental Biology 14, 22.						x					
ECAO:0105698	embryonic skeletogenic mesenchyme	tissue	embryo	embryonic skeletogenic mesoderm	early mesenchyme blastula stage	prism stage	The embryonic tissue made up of loosely connected mesoderm cells that will produce all of the skeletal elements.	SM, primary mesenchyme											x					
ECAO:0105700	skeletal rod	skeletal element	endoskeleton	embryonic skeletogenic mesenchyme	late gastrula stage	early juvenile stage		spicule rod											x					
ECAO:0105710	anonymous rod	skeletal rod	endoskeleton		mid-gastrula stage	competent pluteus larva stage																		
ECAO:0105720	right anonymous rod	anonymous rod	endoskeleton	right ventrolateral triradiate spicule rudiment	mid-gastrula stage	competent pluteus larva stage													x					
ECAO:0105730	left anonymous rod	anonymous rod	endoskeleton	left ventrolateral triradiate spicule rudiment	mid-gastrula stage	competent pluteus larva stage																		
ECAO:0105738	right dorsoventral connecting rod	skeletal rod	endoskeleton	right ventrolateral triradiate spicule rudiment	mid-gastrula stage	competent pluteus larva stage													x					
ECAO:0105740	right anterolateral rod	skeletal rod	endoskeleton	right dorsoventral connecting rod	early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105748	left dorsoventral connecting rod	skeletal rod	endoskeleton	left ventrolateral triradiate spicule rudiment	mid-gastrula stage	competent pluteus larva stage													x					
ECAO:0105750	left anterolateral rod	skeletal rod	endoskeleton	left dorsoventral connecting rod	early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105760	right postoral rod	skeletal rod	endoskeleton	right anonymous rod	prism stage	competent pluteus larva stage													x					
ECAO:0105770	left postoral rod	skeletal rod	endoskeleton	left anonymous rod	prism stage	competent pluteus larva stage													x					
ECAO:0105780	right posterodorsal rod	skeletal rod	larval endoskeleton	triradiate spicule rudiment	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105790	left posterodorsal rod	skeletal rod	larval endoskeleton	triradiate spicule rudiment	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105798	dorsal arch	skeletal element	larval endoskeleton	triradiate spicule rudiment	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105800	right preoral rod	skeletal rod	larval endoskeleton	dorsal arch	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105810	left preoral rod	skeletal rod	larval endoskeleton	dorsal arch	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105850	right ventral transverse rod	skeletal rod	endoskeleton	right ventrolateral triradiate spicule rudiment	mid-gastrula stage	competent pluteus larva stage													x					
ECAO:0105860	left ventral transverse rod	skeletal rod	endoskeleton	left ventrolateral triradiate spicule rudiment	mid-gastrula stage	competent pluteus larva stage													x					
ECAO:0105868	posterior tip of body rod	skeletal element	body rod		prism stage	competent pluteus larva stage																		
ECAO:0105870	scheitel	skeletal element	larval endoskeleton	posterior tip of body rod	early pluteus larva stage	competent pluteus larva stage		body rod end											x					
ECAO:0105880	body rod	skeletal element	larval endoskeleton		prism stage	competent pluteus larva stage																		
ECAO:0105890	left body rod	body rod	larval endoskeleton	left anonymous rod	prism stage	competent pluteus larva stage													x					
ECAO:0105900	right body rod	body rod	larval endoskeleton	right anonymous rod	prism stage	competent pluteus larva stage													x					
ECAO:0105920	posterior tip of left body rod	posterior tip of body rod	left body rod		prism stage	competent pluteus larva stage																		
ECAO:0105930	posteror tip of right body rod	posterior tip of body rod	right body rod		prism stage	competent pluteus larva stage																		
ECAO:0105940	right recurrent rod	skeletal rod	larval endoskeleton	right dorsoventral connecting rod	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0105950	left recurrent rod	skeletal rod	larval endoskeleton	left dorsoventral connecting rod	4-arm pluteus larva stage	competent pluteus larva stage													x					
